,tweet_id,lat,lon,content,location
837670608234143745,837670608234143745,-71.064841,42.455468,"This #job might be a great fit for you: Barista (US) - https://t.co/dmWv2Llhjx #Hospitality 521 Main St, #Melrose, MA #Veterans #Hiring","Boston, MA"
837670607454093313,837670607454093313,,,@ToneDeRone @BoatBum67 @BostonGlobe Right like your mentor hard at work building g buildings and stiffing contracto… https://t.co/vaXpfOBl8l,"Woburn, MA"
837670607315685376,837670607315685376,,,"RT @BetterAfter50: @freetree64 @babson Appreciate the shout out, Kevin!","St Ann, MO"
837670606225162242,837670606225162242,,,RT @RasheedTheGreat: Wow lmfaooo worldstar https://t.co/JKFa1o5gD5,"Massachusetts, USA"
837670605919043584,837670605919043584,,,Let the stupid times roll. Euro lawmakers press EU to impose visas on U.S. citizens https://t.co/Ixf8tW1znI via @Reuters,Metro Boston
837670692447371264,837670692447371264,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,愛知県　家康の産まれたとこ
837670691554148353,837670691554148353,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,
837670691126280192,837670691126280192,,,@miggety_mac @YessiexBAYBEE oh you hush dummy,"Boston, MA"
837670690811695104,837670690811695104,,,goodmorning https://t.co/i2jKWn1Hf1,boston
837670690706833408,837670690706833408,,,"RT @OnlyInBOS: 16 years ago today, Chelsea's Johnny Ruiz defeated Evander Holyfield to become 1st Latino WBA heavyweight champion. https://…",Admirals Hill
837670777482772481,837670777482772481,,,RT @MEDITECH: MEDITECH is proud to attend the kickoff of SHINE - Share Health Integration Network - today! @Southlake_News @Stevenson_News…,"Newmarket, Ontario"
837670776723673089,837670776723673089,,,"ICYMI Park trees removed due to tree health/disease factors, or pose harm to other trees in the collection… https://t.co/NrqZ70Si2J","Boston, MA"
837670776039931905,837670776039931905,,,@Suzumemamaru そんな伝説残したくないよぅ…,Harvard Medical School
837670775603650560,837670775603650560,,,"RT @MaxAbrahms: CNN is now reporting the maligned Yemen raid actually yielded intel that's ""vital and being acted upon.""","Kentucky, USA"
837670775574310912,837670775574310912,,,RT @ego_biggest: @BroBrogan_ @KVMthetruth @Real_AlHaymon crazy if add every purse received by a UFC fighter it doesn't = 1/2 of the $365 mi…,"Fremantle, Australia"
837670863537389568,837670863537389568,,,Check out this story by @tayylorpatrick about ways to make Prom a great night for everyone! https://t.co/s3PZFotAHG,"Bel Air, MD"
837670863130492929,837670863130492929,,,"Lucas Flex BOGO! Choose #sterling, #rose or #18K #gold. For all you loyal #Fitbit #Flex owners. This one's for you.… https://t.co/vSqyOBqL5R","Cambridge, MA"
837670862950137856,837670862950137856,,,RT @TheReal_JDavis: These turkeys trying to give this cat its 10th life https://t.co/VBM7t4MZYr,"Alaska, USA"
